epoch, batch, loss, loss_force_constant, loss_e, f_mae, e/N_mae, force_constant_mae
    1,     1,           3663.7,           3415.8,           247.92,         0.045135,           15.746,           3415.8
    1,     2,           3874.5,           3871.5,           3.0044,          0.11123,           1.7333,           3871.5
    1,     3,             3471,           3467.5,           3.5327,         0.087285,           1.8796,           3467.5
    1,     4,           2365.5,             2340,           25.429,          0.13791,           5.0427,             2340
    1,     5,           3062.9,           3039.4,            23.57,          0.23378,           4.8549,           3039.4
    1,     6,             2947,           2867.2,           79.823,          0.47713,           8.9344,           2867.2
    1,     7,           3362.2,           3332.4,             29.8,         0.058671,           5.4589,           3332.4
    1,     8,           2251.6,           2169.2,           82.324,          0.74511,           9.0733,           2169.2
    1,     9,             1497,           608.99,           887.97,         0.086904,           29.799,           608.99
    1,    10,           2460.7,           2432.2,           28.503,          0.11074,           5.3388,           2432.2
    1,    11,           2054.9,           2037.3,           17.639,          0.89287,           4.1999,           2037.3
    1,    12,           1619.9,             1585,           34.909,            1.364,           5.9084,             1585
    1,    13,           978.66,           959.47,           19.194,          0.85053,           4.3811,           959.47
    1,    14,           3212.3,           3124.7,           87.649,          0.58986,           9.3621,           3124.7
    1,    15,           2206.6,           2119.6,           87.035,          0.50832,           9.3292,           2119.6
    1,    16,           789.26,           690.18,           99.082,        4.679e-06,            9.954,           690.18
    1,    17,             3917,           1696.7,           2220.3,            0.144,            47.12,           1696.7
    1,    18,           2666.4,           2611.6,           54.731,          0.11014,            7.398,           2611.6
    1,    19,           2347.9,           2319.9,            27.94,          0.10423,           5.2859,           2319.9
    1,    20,           1823.7,           1818.7,           4.9856,          0.52444,           2.2328,           1818.7
    1,    21,           1350.8,           1346.3,           4.5248,          0.65472,           2.1272,           1346.3
    1,    22,           2423.6,           2401.4,           22.204,          0.42337,           4.7122,           2401.4
    1,    23,           1454.8,           1424.3,           30.539,          0.72808,           5.5262,           1424.3
    1,    24,           2555.3,             1191,           1364.3,          0.26627,           36.936,             1191
    1,    25,           2037.3,           1957.5,           79.821,          0.71148,           8.9343,           1957.5
    1,    26,           2195.9,           2114.7,           81.205,          0.56826,           9.0114,           2114.7
    1,    27,           2670.6,           2333.2,           337.49,          0.25657,           18.371,           2333.2
    1,    28,           2032.8,           2027.9,           4.9639,          0.49724,            2.228,           2027.9
    1,    29,           2244.7,             2161,           83.732,          0.48952,           9.1505,             2161
    1,    30,           2037.4,           2037.2,          0.12658,           0.1537,          0.35577,           2037.2
    1,    31,             1933,           1927.6,           5.3569,          0.53728,           2.3145,           1927.6
    1,    32,           1950.5,           1867.9,           82.574,          0.46543,            9.087,           1867.9
    1,    33,             2025,           1940.4,           84.601,          0.20732,           9.1979,           1940.4
    1,    34,           2175.8,           2170.8,           5.0226,          0.50142,           2.2411,           2170.8
    1,    35,           2036.2,           1909.2,              127,          0.43212,           11.269,           1909.2
    1,    36,           1759.8,           1754.7,           5.1787,          0.39181,           2.2757,           1754.7
    1,    37,           2020.9,           1892.2,           128.69,          0.38917,           11.344,           1892.2
    1,    38,           1782.4,           1564.6,           217.78,           0.2127,           14.757,           1564.6
    1,    39,           1766.1,           1760.9,           5.2208,          0.42762,           2.2849,           1760.9
    1,    40,             1754,           1748.7,           5.3158,          0.30923,           2.3056,           1748.7
    1,    41,           2528.3,           1660.8,           867.46,           0.5259,           29.453,           1660.8
    1,    42,           2006.5,           2006.3,          0.24411,         0.092308,          0.49407,           2006.3
    1,    43,           2081.5,           2054.5,            27.03,         0.081824,            5.199,           2054.5
    1,    44,           1995.6,             1990,           5.6477,          0.48526,           2.3765,             1990
    1,    45,           2425.5,           2419.1,           6.4105,          0.46388,           2.5319,           2419.1
    1,    46,           670.58,           652.77,           17.816,          0.40869,           4.2209,           652.77
    1,    47,           2580.5,           2527.3,             53.2,           1.0051,           7.2939,           2527.3
    1,    48,           1963.2,           1879.5,            83.68,          0.41038,           9.1477,           1879.5
    1,    49,           335.08,           327.74,           7.3476,          0.56657,           2.7106,           327.74
    1,    50,           1819.9,             1785,           34.821,          0.25974,           5.9009,             1785
    1,    51,            878.1,           872.72,           5.3831,          0.42464,           2.3201,           872.72
    1,    52,           1858.6,           1776.2,           82.383,          0.38421,           9.0765,           1776.2
    1,    53,           731.64,           731.01,          0.63485,          0.17996,          0.79678,           731.01
    1,    54,           1677.3,           1672.4,           4.9556,          0.31689,           2.2261,           1672.4
    1,    55,           2157.6,           2152.4,           5.1778,          0.42612,           2.2755,           2152.4
    1,    56,           1721.5,             1641,           80.451,          0.41243,           8.9695,             1641
    1,    57,           4990.4,           4862.2,           128.26,           0.1527,           11.325,           4862.2
    1,    58,           1807.5,           1802.3,           5.2047,          0.13417,           2.2814,           1802.3
    1,    59,           1703.7,           1683.3,           20.347,          0.15431,           4.5107,           1683.3
    1,    60,             1840,           1713.3,           126.72,          0.21642,           11.257,           1713.3
