epoch, wall, LR,training_loss_force_constant,training_loss_e,training_loss,training_f_mae,training_e/N_mae,training_force_constant_mae,validation_loss_force_constant,validation_loss_e,validation_loss,validation_f_mae,validation_e/N_mae,validation_force_constant_mae
         1,   82.997,    0.005,            20728,       3.4632e+06,        3.484e+06,         2.93,     1.58e+03,     2.07e+04,            55192,       1.5138e+06,        1.569e+06,         33.7,     1.07e+03,     5.52e+04
         2,  114.658,    0.005,       1.8616e+05,       3.0783e+05,       4.9399e+05,         26.9,          370,     1.86e+05,       1.7153e+05,            21016,       1.9254e+05,         86.5,          138,     1.72e+05
         3,  146.337,    0.005,            97662,            50882,       1.4854e+05,         19.6,          158,     9.77e+04,            78707,           2214.1,            80921,         52.7,         36.1,     7.87e+04
         4,  177.988,    0.005,            46592,           5997.5,            52589,         11.7,         54.8,     4.66e+04,            40109,           1967.1,            42076,         23.6,         36.3,     4.01e+04
         5,  209.636,    0.005,            26426,           3388.2,            29814,         10.5,         43.2,     2.64e+04,            30275,           667.42,            30943,         21.4,         19.1,     3.03e+04
         6,  241.302,    0.005,            20258,           1314.2,            21573,         9.46,         28.6,     2.03e+04,            23252,           291.66,            23543,         21.8,         13.6,     2.33e+04
         7,  273.004,    0.005,            16961,           584.41,            17545,         8.61,         19.7,      1.7e+04,            19700,           197.59,            19897,         18.4,         12.4,     1.97e+04
         8,  304.630,    0.005,            13841,            643.1,            14484,         8.06,         21.5,     1.38e+04,            17556,           30.358,            17586,         17.4,          4.7,     1.76e+04
         9,  336.268,    0.005,            12434,           604.65,            13038,         7.08,           19,     1.24e+04,            16216,           95.605,            16312,         15.1,         7.57,     1.62e+04
        10,  367.920,    0.005,            13045,           1477.6,            14522,         6.54,         30.5,      1.3e+04,            14220,           123.25,            14343,         14.1,         6.19,     1.42e+04
        11,  399.592,    0.005,            13051,           1267.8,            14319,         6.11,         29.4,     1.31e+04,            13328,           156.24,            13484,         12.6,         7.81,     1.33e+04
        12,  431.244,    0.005,           9774.8,           480.21,            10255,         6.16,         17.1,     9.77e+03,            12261,           98.381,            12359,         11.3,         7.98,     1.23e+04
        13,  462.978,    0.005,            10154,           620.26,            10774,          5.4,         19.4,     1.02e+04,            10866,           86.567,            10953,         10.8,         6.37,     1.09e+04
        14,  494.625,    0.005,            10923,           509.12,            11432,         5.73,           17,     1.09e+04,           9549.1,           97.233,           9646.4,         10.7,          6.6,     9.55e+03
        15,  526.279,    0.005,           7588.7,           539.34,           8128.1,          5.3,         18.7,     7.59e+03,           8802.9,           91.809,           8894.7,         9.79,         6.87,      8.8e+03
        16,  557.829,    0.005,           9716.7,           443.57,            10160,         4.98,           16,     9.72e+03,           8942.9,            75.11,           9018.1,         8.48,         6.62,     8.94e+03
        17,  589.387,    0.005,           8286.3,           397.34,           8683.6,         5.57,         16.2,     8.29e+03,           8280.7,           79.316,             8360,          8.2,         6.38,     8.28e+03
        18,  620.903,    0.005,            10434,           963.93,            11398,          4.7,         21.6,     1.04e+04,           8309.5,           122.34,           8431.9,         7.13,         7.55,     8.31e+03
