epoch, batch, loss, loss_f, loss_e, f_mae, f_rmse, H_f_mae, C_f_mae, psavg_f_mae, H_f_rmse, C_f_rmse, psavg_f_rmse, e_mae, e/N_mae
    1,     1,           1.0544,           1.0385,         0.015869,           22.763,           31.205,           17.323,           28.981,           23.152,           24.017,           37.782,           30.899,           57.444,           3.8296
    1,     2,           1.1324,           1.1217,          0.01073,           23.705,           32.431,           17.725,            30.54,           24.132,           22.102,           41.177,           31.639,           46.903,           3.1269
    1,     3,          0.79505,          0.78913,        0.0059189,           19.336,           27.202,           12.938,           26.647,           19.793,           18.213,           34.734,           26.473,           35.222,           2.3481
    1,     4,          0.91531,          0.90938,        0.0059249,           21.113,           29.201,            14.98,           28.121,           21.551,           19.632,           37.238,           28.435,           34.166,           2.2777
    1,     5,          0.99141,           0.9862,        0.0052109,           22.117,           30.409,           14.189,           31.178,           22.683,           19.069,           39.572,           29.321,           32.894,           2.1929
    1,     6,           0.8294,          0.82556,        0.0038368,           20.175,           27.822,           12.998,           28.377,           20.688,           17.593,           36.125,           26.859,           28.069,           1.8712
    1,     7,          0.69262,          0.68873,        0.0038931,           18.215,           25.412,           10.917,           26.555,           18.736,           14.234,           33.945,           24.089,           28.237,           1.8825
    1,     8,          0.70414,          0.70004,        0.0040996,           18.222,            25.62,           11.715,           25.659,           18.687,           15.565,           33.611,           24.588,           29.191,            1.946
    1,     9,          0.54587,          0.53996,        0.0059098,           16.303,           22.501,           9.7903,           23.747,           16.769,           13.135,           29.795,           21.465,           34.787,           2.3192
    1,    10,          0.43095,          0.42258,         0.008369,           15.227,           19.906,           10.029,           21.169,           15.599,           12.673,           25.797,           19.235,           41.934,           2.7956
    1,    11,          0.77873,          0.76474,         0.013993,           19.267,           26.778,           11.453,           28.196,           19.825,           14.954,           35.791,           25.372,           54.297,           3.6198
    1,    12,          0.76863,          0.75018,          0.01845,           18.954,           26.522,           11.011,           28.033,           19.522,           15.019,           35.348,           25.184,           62.184,           4.1456
    1,    13,          0.38524,          0.36398,         0.021258,           13.457,           18.474,           7.1244,           20.695,            13.91,           9.1574,           25.209,           17.183,           66.934,           4.4623
    1,    14,          0.37298,          0.34677,         0.026218,           12.532,           18.032,           6.2411,           19.722,           12.981,           8.3694,           24.833,           16.601,           74.359,           4.9573
    1,    15,          0.41508,          0.38313,         0.031943,           13.045,           18.954,            6.276,           20.781,           13.528,           7.9467,           26.413,            17.18,           82.056,           5.4704
    1,    16,          0.26583,          0.23542,         0.030416,            10.96,           14.857,           6.6974,           15.832,           11.265,           8.3378,           19.838,           14.088,           80.069,           5.3379
    1,    17,          0.27372,          0.24875,         0.024966,           10.755,           15.272,           6.2282,           15.929,           11.078,           8.2979,           20.521,           14.409,           72.428,           4.8285
    1,    18,          0.30333,          0.28492,          0.01841,           12.147,           16.345,           7.6232,           17.316,            12.47,           9.7018,           21.562,           15.632,           62.272,           4.1515
    1,    19,          0.27808,          0.27192,        0.0061595,            11.67,           15.968,           7.6319,           16.286,           11.959,           9.2077,           21.201,           15.204,           35.844,           2.3896
    1,    20,           0.2512,          0.25116,       3.6934e-05,           10.922,           15.346,           7.8583,           14.424,           11.141,           9.6909,           19.933,           14.812,           1.9438,          0.12958
