comp lambda structure.volume Acharge Bcharge Ccharge dos_ef AColumn BColumn CColumn ARow BRow CRow AElectronegativity BElectronegativity CElectronegativity AAtomicWeight BAtomicWeight CAtomicWeight ACovalentRadius BCovalentRadius CCovalentRadius ASqrtAtomicWeight BSqrtAtomicWeight CSqrtAtomicWeight
InNCa3 0.265 121.46936 0.80048 -0.66626 -0.04474 3.04559 13.0 15.0 2.0 5.0 2.0 4.0 1.78 3.04 1.0 114.818 14.0067 40.078 142.0 71.0 176.0 10.7153161409265 3.742552604840712 6.330718758561306
ZnNCa3 0.3218 117.58649 0.86712 -0.65101 -0.07204 4.97283 12.0 15.0 2.0 4.0 2.0 4.0 1.65 3.04 1.0 65.38 14.0067 40.078 122.0 71.0 176.0 8.085790004693418 3.742552604840712 6.330718758561306
CaBRh3 0.3509 74.46259 -0.50074 -0.82884 0.44319 4.93557 2.0 13.0 9.0 4.0 2.0 5.0 1.0 2.04 2.28 40.078 10.811 102.9055 176.0 84.0 142.0 6.330718758561306 3.2880085158040573 10.1442348158942
InBSc3 0.4821 103.29506 0.3009 -0.84592 0.18168 6.13547 13.0 13.0 3.0 5.0 2.0 4.0 1.78 2.04 1.36 114.818 10.811 44.955912 142.0 84.0 170.0 10.7153161409265 3.2880085158040573 6.7049170017234365
InNNi3 0.3534 57.9844 -0.03127 -0.85987 0.29705 1.47046 13.0 15.0 10.0 5.0 2.0 4.0 1.78 3.04 1.91 114.818 14.0067 58.6934 142.0 71.0 124.0 10.7153161409265 3.742552604840712 7.661161791791112
TlBTi3 0.3894 82.01247 0.77415 -0.60807 -0.05536 4.8122 13.0 13.0 4.0 6.0 2.0 4.0 1.62 2.04 1.54 204.3833 10.811 47.867 145.0 84.0 160.0 14.29626874397652 3.2880085158040573 6.918598123897644
InCY3 0.3566 120.03973 0.75451 -1.20967 0.15172 0.29258 13.0 14.0 3.0 5.0 2.0 5.0 1.78 2.55 1.22 114.818 12.0107 88.90585 142.0 76.0 190.0 10.7153161409265 3.4656456829860725 9.42898987166706
InHTi3 0.5461 72.44059 0.94235 -0.33965 -0.2009 4.82378 13.0 1.0 4.0 5.0 1.0 4.0 1.78 2.2 1.54 114.818 1.00794 47.867 142.0 31.0 160.0 10.7153161409265 1.0039621506809906 6.918598123897644
GaNY3 0.3 107.98057 0.73327 -0.63845 -0.03161 2.30592 13.0 15.0 3.0 4.0 2.0 5.0 1.81 3.04 1.22 69.723 14.0067 88.90585 122.0 71.0 190.0 8.350029940066083 3.742552604840712 9.42898987166706
PbOSr3 0.1493 141.44977 0.69087 0.01852 -0.23646 0.19021 14.0 16.0 2.0 6.0 2.0 5.0 2.33 3.44 0.95 207.2 15.9994 87.62 146.0 66.0 195.0 14.394443372357264 3.9999249992968617 9.36055553906925
GaCSc3 0.3118 90.12262 0.5054 -1.21733 0.23731 0.29403 13.0 14.0 3.0 4.0 2.0 4.0 1.81 2.55 1.36 69.723 12.0107 44.955912 122.0 76.0 170.0 8.350029940066083 3.4656456829860725 6.7049170017234365
GeNCa3 0.2369 112.21471 0.73182 -0.63301 -0.03294 4.56749 14.0 15.0 2.0 4.0 2.0 4.0 2.01 3.04 1.0 72.64 14.0067 40.078 120.0 71.0 176.0 8.522910301065007 3.742552604840712 6.330718758561306
HgHZr3 0.5169 89.07219 0.63043 -0.34613 -0.09477 2.09268 12.0 1.0 4.0 6.0 1.0 5.0 2.0 2.2 1.33 200.59 1.00794 91.224 132.0 31.0 175.0 14.162979912433682 1.0039621506809906 9.551125588117872
GeHCo3 0.2227 46.28489 -0.40474 -0.37044 0.25839 2.90677 14.0 1.0 9.0 4.0 1.0 4.0 2.01 2.2 1.88 72.64 1.00794 58.933195 120.0 31.0 126.0 8.522910301065007 1.0039621506809906 7.676795881095185
MgOSc3 0.3153 91.1055 -0.46796 -0.05639 0.17478 3.05839 2.0 16.0 3.0 3.0 2.0 4.0 1.31 3.44 1.36 24.305 15.9994 44.955912 141.0 66.0 170.0 4.930010141977397 3.9999249992968617 6.7049170017234365
YCRu3 0.3122 72.3651 -0.4938 -1.35158 0.61513 3.22631 3.0 14.0 8.0 5.0 2.0 5.0 1.22 2.55 2.2 88.90585 12.0107 101.07 190.0 76.0 146.0 9.42898987166706 3.4656456829860725 10.053357648069625
SnCSc3 0.1583 93.29763 0.38926 -1.25454 0.28843 2.95701 14.0 14.0 3.0 5.0 2.0 4.0 1.96 2.55 1.36 118.71 12.0107 44.955912 139.0 76.0 170.0 10.895411878400926 3.4656456829860725 6.7049170017234365
SbOBa3 0.3371 162.97397 -1.84817 0.46185 0.46211 2.81071 15.0 16.0 2.0 5.0 2.0 6.0 2.05 3.44 0.89 121.76 15.9994 137.327 139.0 66.0 215.0 11.034491379306978 3.9999249992968617 11.718660332990286
TlNSc3 0.162 89.80152 0.28803 -0.71669 0.14289 2.76865 13.0 15.0 3.0 6.0 2.0 4.0 1.62 3.04 1.36 204.3833 14.0067 44.955912 145.0 71.0 170.0 14.29626874397652 3.742552604840712 6.7049170017234365
MgNSc3 0.282 92.63665 -0.44749 -0.62618 0.35789 7.59225 2.0 15.0 3.0 3.0 2.0 4.0 1.31 3.04 1.36 24.305 14.0067 44.955912 141.0 71.0 170.0 4.930010141977397 3.742552604840712 6.7049170017234365
GeHV3 0.5189 55.96843 0.05567 -0.32206 0.0888 1.76725 14.0 1.0 5.0 4.0 1.0 4.0 2.01 2.2 1.63 72.64 1.00794 50.9415 120.0 31.0 153.0 8.522910301065007 1.0039621506809906 7.137331434086552
YCRh3 0.5353 73.48564 0.03187 -1.25939 0.40918 0.53532 3.0 14.0 9.0 5.0 2.0 5.0 1.22 2.55 2.28 88.90585 12.0107 102.9055 190.0 76.0 142.0 9.42898987166706 3.4656456829860725 10.1442348158942
SnNCa3 0.1947 118.58479 0.82559 -0.66959 -0.052 4.76587 14.0 15.0 2.0 5.0 2.0 4.0 1.96 3.04 1.0 118.71 14.0067 40.078 139.0 71.0 176.0 10.895411878400926 3.742552604840712 6.330718758561306
AlCSc3 0.2348 91.86986 -2.02009 -1.04168 1.02059 0.37924 13.0 14.0 3.0 3.0 2.0 4.0 1.61 2.55 1.36 26.9815386 12.0107 44.955912 121.0 76.0 170.0 5.194375669895276 3.4656456829860725 6.7049170017234365
GaNCr3 0.6037 56.02684 0.16913 -0.73623 0.18903 6.77607 13.0 15.0 6.0 4.0 2.0 4.0 1.81 3.04 1.66 69.723 14.0067 51.9961 122.0 71.0 139.0 8.350029940066083 3.742552604840712 7.210832129511822
ScHNi3 0.0684 52.76986 -0.10036 -0.42574 0.17537 0.34902 3.0 1.0 10.0 4.0 1.0 4.0 1.36 2.2 1.91 44.955912 1.00794 58.6934 170.0 31.0 124.0 6.7049170017234365 1.0039621506809906 7.661161791791112
CdHTi3 0.5049 71.80747 0.25041 -0.34947 0.03302 2.53658 12.0 1.0 4.0 5.0 1.0 4.0 1.69 2.2 1.54 112.411 1.00794 47.867 144.0 31.0 160.0 10.602405387458074 1.0039621506809906 6.918598123897644
InCNi3 0.64 57.93833 -0.03606 -1.32833 0.4548 3.67929 13.0 14.0 10.0 5.0 2.0 4.0 1.78 2.55 1.91 114.818 12.0107 58.6934 142.0 76.0 124.0 10.7153161409265 3.4656456829860725 7.661161791791112
AlOY3 0.381 106.78694 -2.03718 0.34549 0.5639 3.63635 13.0 16.0 3.0 3.0 2.0 5.0 1.61 3.44 1.22 26.9815386 15.9994 88.90585 121.0 66.0 190.0 5.194375669895276 3.9999249992968617 9.42898987166706
CdOSc3 0.2536 88.33756 0.20757 -0.10827 -0.0331 2.41186 12.0 16.0 3.0 5.0 2.0 4.0 1.69 3.44 1.36 112.411 15.9994 44.955912 144.0 66.0 170.0 10.602405387458074 3.9999249992968617 6.7049170017234365
ScBRh3 0.195 70.25113 -0.07719 -0.7193 0.2655 4.46404 3.0 13.0 9.0 4.0 2.0 5.0 1.36 2.04 2.28 44.955912 10.811 102.9055 170.0 84.0 142.0 6.7049170017234365 3.2880085158040573 10.1442348158942
TlOCa3 0.2176 117.17698 0.57307 -0.03855 -0.17817 5.66397 13.0 16.0 2.0 6.0 2.0 4.0 1.62 3.44 1.0 204.3833 15.9994 40.078 145.0 66.0 176.0 14.29626874397652 3.9999249992968617 6.330718758561306
TlHRh3 0.3782 66.21104 -0.21325 -0.43955 0.2176 4.61619 13.0 1.0 9.0 6.0 1.0 5.0 1.62 2.2 2.28 204.3833 1.00794 102.9055 145.0 31.0 142.0 14.29626874397652 1.0039621506809906 10.1442348158942
ScBIr3 0.254 71.5191 -0.17534 -0.64365 0.273 2.92751 3.0 13.0 9.0 4.0 2.0 6.0 1.36 2.04 2.2 44.955912 10.811 192.217 170.0 84.0 141.0 6.7049170017234365 3.2880085158040573 13.86423456235504
PbOCa3 0.1041 116.101 0.56725 -0.0386 -0.17622 0.01945 14.0 16.0 2.0 6.0 2.0 4.0 2.33 3.44 1.0 207.2 15.9994 40.078 146.0 66.0 176.0 14.394443372357264 3.9999249992968617 6.330718758561306
HfHCo3 0.1862 51.86821 -0.30907 -0.41321 0.24076 3.97912 4.0 1.0 9.0 6.0 1.0 4.0 1.3 2.2 1.88 178.49 1.00794 58.933195 175.0 31.0 126.0 13.360014970051491 1.0039621506809906 7.676795881095185
MgBNi3 0.4192 57.69235 -0.6797 -0.69492 0.45821 6.22747 2.0 13.0 10.0 3.0 2.0 4.0 1.31 2.04 1.91 24.305 10.811 58.6934 141.0 84.0 124.0 4.930010141977397 3.2880085158040573 7.661161791791112
