comp wlog structure.volume Acharge Bcharge Ccharge dos_ef AColumn BColumn CColumn ARow BRow CRow AElectronegativity BElectronegativity CElectronegativity AAtomicWeight BAtomicWeight CAtomicWeight ACovalentRadius BCovalentRadius CCovalentRadius ASqrtAtomicWeight BSqrtAtomicWeight CSqrtAtomicWeight
PbBY3 195.3216 129.09137 0.8658 -0.79209 -0.02457 0.8706 14.0 13.0 3.0 6.0 2.0 5.0 2.33 2.04 1.22 207.2 10.811 88.90585 146.0 84.0 190.0 14.394443372357264 3.2880085158040573 9.42898987166706
AlHHf3 180.7481 82.65023 -1.99507 -0.28147 0.75885 2.04775 13.0 1.0 4.0 3.0 1.0 6.0 1.61 2.2 1.3 26.9815386 1.00794 178.49 121.0 31.0 175.0 5.194375669895276 1.0039621506809906 13.360014970051491
TlBRh3 141.4624 73.11041 -0.43013 -0.86999 0.43337 4.50648 13.0 13.0 9.0 6.0 2.0 5.0 1.62 2.04 2.28 204.3833 10.811 102.9055 145.0 84.0 142.0 14.29626874397652 3.2880085158040573 10.1442348158942
ScCRh3 174.3117 69.26662 0.16035 -1.2111 0.35025 0.2165 3.0 14.0 9.0 4.0 2.0 5.0 1.36 2.55 2.28 44.955912 12.0107 102.9055 170.0 76.0 142.0 6.7049170017234365 3.4656456829860725 10.1442348158942
PbCY3 216.0359 119.76832 0.57281 -1.21654 0.21458 2.63312 14.0 14.0 3.0 6.0 2.0 5.0 2.33 2.55 1.22 207.2 12.0107 88.90585 146.0 76.0 190.0 14.394443372357264 3.4656456829860725 9.42898987166706
PbOSr3 130.8031 141.44977 0.69087 0.01852 -0.23646 0.19021 14.0 16.0 2.0 6.0 2.0 5.0 2.33 3.44 0.95 207.2 15.9994 87.62 146.0 66.0 195.0 14.394443372357264 3.9999249992968617 9.36055553906925
AlHTi3 282.2259 67.25362 -1.92705 -0.25768 0.72824 3.15141 13.0 1.0 4.0 3.0 1.0 4.0 1.61 2.2 1.54 26.9815386 1.00794 47.867 121.0 31.0 160.0 5.194375669895276 1.0039621506809906 6.918598123897644
SnNSc3 297.2902 88.89438 0.36123 -0.74106 0.12661 3.17786 14.0 15.0 3.0 5.0 2.0 4.0 1.96 3.04 1.36 118.71 14.0067 44.955912 139.0 71.0 170.0 10.895411878400926 3.742552604840712 6.7049170017234365
TlNY3 219.9787 112.88276 0.59904 -0.62083 0.00726 2.4199 13.0 15.0 3.0 6.0 2.0 5.0 1.62 3.04 1.22 204.3833 14.0067 88.90585 145.0 71.0 190.0 14.29626874397652 3.742552604840712 9.42898987166706
CdNCa3 188.1647 121.45994 0.58526 -0.62898 0.01458 2.7331 12.0 15.0 2.0 5.0 2.0 4.0 1.69 3.04 1.0 112.411 14.0067 40.078 144.0 71.0 176.0 10.602405387458074 3.742552604840712 6.330718758561306
GeNCa3 189.519 112.21471 0.73182 -0.63301 -0.03294 4.56749 14.0 15.0 2.0 4.0 2.0 4.0 2.01 3.04 1.0 72.64 14.0067 40.078 120.0 71.0 176.0 8.522910301065007 3.742552604840712 6.330718758561306
TlNTi3 242.5692 74.80706 0.27446 -0.69524 0.14026 2.35472 13.0 15.0 4.0 6.0 2.0 4.0 1.62 3.04 1.54 204.3833 14.0067 47.867 145.0 71.0 160.0 14.29626874397652 3.742552604840712 6.918598123897644
AlNY3 223.4269 109.66746 -2.02147 -0.31632 0.77927 2.39121 13.0 15.0 3.0 3.0 2.0 5.0 1.61 3.04 1.22 26.9815386 14.0067 88.90585 121.0 71.0 190.0 5.194375669895276 3.742552604840712 9.42898987166706
NaPCa3 125.8571 179.55658 0.71882 -1.73767 0.33961 4.56257 1.0 15.0 2.0 3.0 3.0 4.0 0.93 2.19 1.0 22.98976928 30.973762 40.078 166.0 107.0 176.0 4.794764778380687 5.565407622088431 6.330718758561306
GaHTi3 285.2921 66.13584 0.92973 -0.31522 -0.20483 3.3959 13.0 1.0 4.0 4.0 1.0 4.0 1.81 2.2 1.54 69.723 1.00794 47.867 122.0 31.0 160.0 8.350029940066083 1.0039621506809906 6.918598123897644
HgHZr3 199.5259 89.07219 0.63043 -0.34613 -0.09477 2.09268 12.0 1.0 4.0 6.0 1.0 5.0 2.0 2.2 1.33 200.59 1.00794 91.224 132.0 31.0 175.0 14.162979912433682 1.0039621506809906 9.551125588117872
InOCa3 165.049 117.33211 0.68807 -0.0601 -0.20932 5.74173 13.0 16.0 2.0 5.0 2.0 4.0 1.78 3.44 1.0 114.818 15.9994 40.078 142.0 66.0 176.0 10.7153161409265 3.9999249992968617 6.330718758561306
AlCSc3 321.1203 91.86986 -2.02009 -1.04168 1.02059 0.37924 13.0 14.0 3.0 3.0 2.0 4.0 1.61 2.55 1.36 26.9815386 12.0107 44.955912 121.0 76.0 170.0 5.194375669895276 3.4656456829860725 6.7049170017234365
SnOCa3 258.5517 113.99587 0.73835 -0.06246 -0.2253 0.02067 14.0 16.0 2.0 5.0 2.0 4.0 1.96 3.44 1.0 118.71 15.9994 40.078 139.0 66.0 176.0 10.895411878400926 3.9999249992968617 6.330718758561306
CdHZr3 208.9963 90.15276 0.45499 -0.34617 -0.03627 2.06384 12.0 1.0 4.0 5.0 1.0 5.0 1.69 2.2 1.33 112.411 1.00794 91.224 144.0 31.0 175.0 10.602405387458074 1.0039621506809906 9.551125588117872
InHTi3 239.6082 72.44059 0.94235 -0.33965 -0.2009 4.82378 13.0 1.0 4.0 5.0 1.0 4.0 1.78 2.2 1.54 114.818 1.00794 47.867 142.0 31.0 160.0 10.7153161409265 1.0039621506809906 6.918598123897644
InHZr3 195.8156 90.38342 0.70949 -0.35439 -0.11837 2.79931 13.0 1.0 4.0 5.0 1.0 5.0 1.78 2.2 1.33 114.818 1.00794 91.224 142.0 31.0 175.0 10.7153161409265 1.0039621506809906 9.551125588117872
SiHV3 277.615 54.47482 -2.0382 -0.27642 0.77154 2.10638 14.0 1.0 5.0 3.0 1.0 4.0 1.9 2.2 1.63 28.0855 1.00794 50.9415 111.0 31.0 153.0 5.299575454694461 1.0039621506809906 7.137331434086552
TlNCa3 154.6169 121.52463 0.69054 -0.65081 -0.01324 2.97547 13.0 15.0 2.0 6.0 2.0 4.0 1.62 3.04 1.0 204.3833 14.0067 40.078 145.0 71.0 176.0 14.29626874397652 3.742552604840712 6.330718758561306
MgHPd3 243.787 65.1456 -0.44805 -0.41649 0.28818 4.43956 2.0 1.0 10.0 3.0 1.0 5.0 1.31 2.2 2.2 24.305 1.00794 106.42 141.0 31.0 139.0 4.930010141977397 1.0039621506809906 10.31600697944704
BiBSc3 260.4168 103.25504 -0.33948 -0.84549 0.39499 3.26787 15.0 13.0 3.0 6.0 2.0 4.0 2.02 2.04 1.36 208.9804 10.811 44.955912 148.0 84.0 170.0 14.456154398732744 3.2880085158040573 6.7049170017234365
SnHRh3 226.0817 64.24879 -0.05939 -0.42611 0.16183 2.52455 14.0 1.0 9.0 5.0 1.0 5.0 1.96 2.2 2.28 118.71 1.00794 102.9055 139.0 31.0 142.0 10.895411878400926 1.0039621506809906 10.1442348158942
TaHRh3 275.2754 61.49805 -0.94766 -0.40282 0.45016 3.60544 5.0 1.0 9.0 6.0 1.0 5.0 1.5 2.2 2.28 180.94788 1.00794 102.9055 170.0 31.0 142.0 13.451686883064149 1.0039621506809906 10.1442348158942
CdNTi3 275.535 73.56258 0.27073 -0.62361 0.11763 5.03376 12.0 15.0 4.0 5.0 2.0 4.0 1.69 3.04 1.54 112.411 14.0067 47.867 144.0 71.0 160.0 10.602405387458074 3.742552604840712 6.918598123897644
GeHNi3 207.7183 48.0556 -0.21599 -0.38889 0.20163 4.16988 14.0 1.0 10.0 4.0 1.0 4.0 2.01 2.2 1.91 72.64 1.00794 58.6934 120.0 31.0 124.0 8.522910301065007 1.0039621506809906 7.661161791791112
SnHZr3 35.7434 90.3296 0.7058 -0.35753 -0.11609 4.23732 14.0 1.0 4.0 5.0 1.0 5.0 1.96 2.2 1.33 118.71 1.00794 91.224 139.0 31.0 175.0 10.895411878400926 1.0039621506809906 9.551125588117872
WHFe3 533.9006 48.2822 -0.73549 -0.36593 0.36714 4.07769 6.0 1.0 8.0 6.0 1.0 4.0 2.36 2.2 1.83 183.84 1.00794 55.845 162.0 31.0 132.0 13.558761005342634 1.0039621506809906 7.47295122424869
InHNi3 272.7333 53.72545 0.02577 -0.42573 0.13332 0.75168 13.0 1.0 10.0 5.0 1.0 4.0 1.78 2.2 1.91 114.818 1.00794 58.6934 142.0 31.0 124.0 10.7153161409265 1.0039621506809906 7.661161791791112
GaNCr3 285.0591 56.02684 0.16913 -0.73623 0.18903 6.77607 13.0 15.0 6.0 4.0 2.0 4.0 1.81 3.04 1.66 69.723 14.0067 51.9961 122.0 71.0 139.0 8.350029940066083 3.742552604840712 7.210832129511822
InBNi3 160.4582 60.01805 -0.33648 -0.84886 0.39511 3.26674 13.0 13.0 10.0 5.0 2.0 4.0 1.78 2.04 1.91 114.818 10.811 58.6934 142.0 84.0 124.0 10.7153161409265 3.2880085158040573 7.661161791791112
HfHRh3 300.0696 63.41208 -0.42366 -0.42135 0.28167 2.41583 4.0 1.0 9.0 6.0 1.0 5.0 1.3 2.2 2.28 178.49 1.00794 102.9055 175.0 31.0 142.0 13.360014970051491 1.0039621506809906 10.1442348158942
CdCZr3 185.4806 96.44433 0.53935 -1.10259 0.18775 3.01822 12.0 14.0 4.0 5.0 2.0 5.0 1.69 2.55 1.33 112.411 12.0107 91.224 144.0 76.0 175.0 10.602405387458074 3.4656456829860725 9.551125588117872
InCTi3 273.8751 76.69727 0.43551 -1.19795 0.25415 4.03041 13.0 14.0 4.0 5.0 2.0 4.0 1.78 2.55 1.54 114.818 12.0107 47.867 142.0 76.0 160.0 10.7153161409265 3.4656456829860725 6.918598123897644
PbNSc3 280.4689 90.79257 0.20773 -0.72407 0.17211 2.74759 14.0 15.0 3.0 6.0 2.0 4.0 2.33 3.04 1.36 207.2 14.0067 44.955912 146.0 71.0 170.0 14.394443372357264 3.742552604840712 6.7049170017234365
TlHZr3 175.8981 91.03653 0.58781 -0.35528 -0.07751 3.63987 13.0 1.0 4.0 6.0 1.0 5.0 1.62 2.2 1.33 204.3833 1.00794 91.224 145.0 31.0 175.0 14.29626874397652 1.0039621506809906 9.551125588117872
TlHPd3 157.3402 70.21566 0.34431 -0.44359 0.03309 0.27885 13.0 1.0 10.0 6.0 1.0 5.0 1.62 2.2 2.2 204.3833 1.00794 106.42 145.0 31.0 139.0 14.29626874397652 1.0039621506809906 10.31600697944704
BiHRh3 182.0721 67.862 -0.42984 -0.43889 0.28958 3.3286 15.0 1.0 9.0 6.0 1.0 5.0 2.02 2.2 2.28 208.9804 1.00794 102.9055 148.0 31.0 142.0 14.456154398732744 1.0039621506809906 10.1442348158942
InBSc3 236.5343 103.29506 0.3009 -0.84592 0.18168 6.13547 13.0 13.0 3.0 5.0 2.0 4.0 1.78 2.04 1.36 114.818 10.811 44.955912 142.0 84.0 170.0 10.7153161409265 3.2880085158040573 6.7049170017234365
CdCNi3 44.6111 57.49431 -0.23078 -1.31793 0.51624 7.95538 12.0 14.0 10.0 5.0 2.0 4.0 1.69 2.55 1.91 112.411 12.0107 58.6934 144.0 76.0 124.0 10.602405387458074 3.4656456829860725 7.661161791791112
NaHPd3 230.9802 67.61506 0.19119 -0.43933 0.08271 3.60207 1.0 1.0 10.0 3.0 1.0 5.0 0.93 2.2 2.2 22.98976928 1.00794 106.42 166.0 31.0 139.0 4.794764778380687 1.0039621506809906 10.31600697944704
