,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf
H,0.9920891649537347,0.0,0.024982440392729517,0.0,0.0,0.0,0.017665253012287756,0.0414286905650514,0.05858901606845397,0.0,0.024982440392729517,0.0,0.0,0.0,0.0,0.012491220196364759,0.04503773491110449,0.0,0.024982440392729517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024982440392729517,0.0,0.0,0.0,0.012491220196364759,0.012491220196364759,0.03533050602457551,0.0,0.024982440392729517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024982440392729517,0.0,0.0,0.0,0.012491220196364759,0.012491220196364759,0.03747366058909427,0.0,0.017665253012287756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012491220196364759,0.0,0.017665253012287756,0.0,0.012491220196364759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012491220196364759,0.0,0.0,0.0,0.0
He,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Li,0.04074849710853642,0.0,0.9001637229431919,0.02037424855426821,0.0,0.0,0.0,0.0,0.02037424855426821,0.0,0.2241167340969503,0.09981302570118994,0.04074849710853642,0.02037424855426821,0.02037424855426821,0.028813538628606524,0.02037424855426821,0.0,0.11159435525389716,0.06442903104588026,0.04990651285059497,0.028813538628606524,0.02037424855426821,0.02037424855426821,0.07057846732405856,0.04990651285059497,0.04990651285059497,0.06757373783994862,0.07057846732405856,0.053905194824410946,0.03528923366202928,0.0,0.0,0.028813538628606524,0.02037424855426821,0.0,0.09111640951564105,0.04074849710853642,0.053905194824410946,0.04990651285059497,0.02037424855426821,0.0,0.0,0.0,0.02037424855426821,0.053905194824410946,0.06442903104588026,0.04555820475782053,0.02037424855426821,0.02037424855426821,0.0,0.028813538628606524,0.02037424855426821,0.0,0.07057846732405856,0.02037424855426821,0.04990651285059497,0.04074849710853642,0.053905194824410946,0.04555820475782053,0.0,0.04555820475782053,0.028813538628606524,0.03528923366202928,0.05762707725721305,0.04555820475782053,0.04990651285059497,0.04990651285059497,0.04990651285059497,0.053905194824410946,0.04555820475782053,0.028813538628606524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02037424855426821,0.06757373783994862,0.02037424855426821,0.02037424855426821,0.02037424855426821,0.0,0.0,0.0,0.0,0.0,0.02037424855426821,0.02037424855426821,0.03528923366202928,0.028813538628606524,0.03528923366202928,0.028813538628606524,0.028813538628606524,0.02037424855426821,0.02037424855426821
Be,0.0,0.0,0.03919309008348102,0.8041749738911752,0.08763841367493647,0.0,0.0,0.0,0.0,0.0,0.03919309008348102,0.14131269593987003,0.10369516947304253,0.06788442333021306,0.0,0.03919309008348102,0.0,0.0,0.03919309008348102,0.08763841367493647,0.06788442333021306,0.09600307214746386,0.055427399547369326,0.07838618016696204,0.11085479909473865,0.10369516947304253,0.12998877418150553,0.08763841367493647,0.08763841367493647,0.17083871895897987,0.09600307214746386,0.055427399547369326,0.0,0.0,0.0,0.0,0.03919309008348102,0.06788442333021306,0.06788442333021306,0.10369516947304253,0.03919309008348102,0.0,0.03919309008348102,0.03919309008348102,0.03919309008348102,0.055427399547369326,0.055427399547369326,0.10369516947304253,0.06788442333021306,0.07838618016696204,0.0,0.0,0.0,0.0,0.0,0.06788442333021306,0.055427399547369326,0.055427399547369326,0.055427399547369326,0.03919309008348102,0.0,0.055427399547369326,0.06788442333021306,0.07838618016696204,0.055427399547369326,0.08763841367493647,0.07838618016696204,0.07838618016696204,0.03919309008348102,0.07838618016696204,0.07838618016696204,0.07838618016696204,0.03919309008348102,0.0,0.03919309008348102,0.055427399547369326,0.055427399547369326,0.07838618016696204,0.03919309008348102,0.09600307214746386,0.0,0.03919309008348102,0.03919309008348102,0.0,0.0,0.0,0.0,0.03919309008348102,0.0,0.03919309008348102,0.03919309008348102,0.055427399547369326,0.055427399547369326,0.055427399547369326,0.03919309008348102,0.055427399547369326,0.03919309008348102,0.0
B,0.0,0.0,0.0,0.044667790323881,0.9534245412961271,0.127909085829855,0.056500782188117674,0.03459952160725518,0.0,0.0,0.0,0.0,0.05992812934134316,0.1231405998945039,0.0747435092751936,0.03459952160725518,0.0,0.0,0.0,0.0,0.0,0.019976043113781053,0.0,0.0,0.019976043113781053,0.03459952160725518,0.06625303980437451,0.03459952160725518,0.019976043113781053,0.019976043113781053,0.09580173727612513,0.07990417245512421,0.052851642258169004,0.019976043113781053,0.019976043113781053,0.0,0.0,0.0,0.028250391094058837,0.03459952160725518,0.0,0.019976043113781053,0.0,0.0,0.019976043113781053,0.0,0.0,0.039952086227562106,0.044667790323881,0.019976043113781053,0.019976043113781053,0.019976043113781053,0.0,0.0,0.0,0.0,0.028250391094058837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039952086227562106,0.019976043113781053,0.028250391094058837,0.044667790323881,0.019976043113781053,0.019976043113781053,0.028250391094058837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019976043113781053,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,0.0,0.09428601464980335,0.9729649966205067,0.1082062211548741,0.06418479392373315,0.0,0.0,0.0,0.0,0.014725001601344014,0.053091748304935196,0.053091748304935196,0.04656454360987378,0.014725001601344014,0.0,0.014725001601344014,0.0,0.0,0.014725001601344014,0.014725001601344014,0.020824296970586246,0.020824296970586246,0.014725001601344014,0.0,0.0,0.0,0.014725001601344014,0.0,0.04417500480403204,0.03895869229218412,0.04164859394117249,0.014725001601344014,0.0,0.0,0.0,0.0,0.0,0.014725001601344014,0.014725001601344014,0.0,0.020824296970586246,0.014725001601344014,0.0,0.04417500480403204,0.0,0.0,0.02945000320268803,0.04417500480403204,0.03606874038495803,0.02550445091506091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014725001601344014,0.014725001601344014,0.014725001601344014,0.0,0.0,0.0,0.0,0.0,0.014725001601344014,0.0,0.014725001601344014,0.014725001601344014,0.014725001601344014,0.014725001601344014,0.04417500480403204,0.0,0.0,0.020824296970586246,0.03292610454939847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N,0.02048079801297601,0.0,0.0,0.0,0.04096159602595202,0.10642134821409048,0.9575731349222535,0.07663212917227677,0.014482111159087306,0.0,0.0,0.02048079801297601,0.0,0.0,0.1074022108679745,0.08689266695452383,0.014482111159087306,0.0,0.0,0.0,0.0,0.014482111159087306,0.0,0.0,0.0,0.0,0.0,0.0,0.014482111159087306,0.038316064586138385,0.0,0.02048079801297601,0.10642134821409048,0.07798855534692685,0.02048079801297601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014482111159087306,0.014482111159087306,0.0,0.0,0.02048079801297601,0.09822245673323086,0.07663212917227677,0.014482111159087306,0.0,0.0,0.014482111159087306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014482111159087306,0.014482111159087306,0.0,0.014482111159087306,0.0,0.06792712241609786,0.04096159602595202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,0.0239844456795869,0.0,0.0,0.0,0.012525468249897757,0.03152173717032284,0.038265937579948346,0.9918346691246094,0.017713687074079002,0.0,0.0,0.012525468249897757,0.0,0.00723158246580458,0.02705810395124262,0.0609343969539454,0.017713687074079002,0.0,0.0,0.0,0.0,0.0,0.0,0.00723158246580458,0.0,0.0,0.00723158246580458,0.0,0.0,0.010227002000560306,0.00723158246580458,0.010227002000560306,0.02892632986321832,0.0495772315998727,0.012525468249897757,0.0,0.0,0.0,0.00723158246580458,0.010227002000560306,0.0,0.0,0.0,0.00723158246580458,0.00723158246580458,0.00723158246580458,0.0,0.0,0.0,0.0,0.02705810395124262,0.04154227850842036,0.010227002000560306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00723158246580458,0.0,0.0,0.0,0.00723158246580458,0.0,0.00723158246580458,0.00723158246580458,0.012525468249897757,0.00723158246580458,0.0,0.0,0.0,0.019132968789974173,0.017713687074079002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,0.08304547985373996,0.0,0.01770535579491277,0.0,0.0,0.0,0.01770535579491277,0.04336908741196553,0.9814901344448342,0.0,0.0,0.025039154291806708,0.0,0.0,0.0,0.04684396830725551,0.10015661716722683,0.0,0.01770535579491277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01770535579491277,0.01770535579491277,0.08113613313631281,0.0,0.01770535579491277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01770535579491277,0.01770535579491277,0.0730010520815671,0.0,0.01770535579491277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01770535579491277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
